New York,36000
Bronx County,36005
Orange County,36071
Jefferson County,36045
Kings County,36047
Rockland County,36087
Tompkins County,36109
Cortland County,36023
Richmond County,36085
Queens County,36081
Oswego County,36075
Suffolk County,36103
Schenectady County,36093
Westchester County,36119
Albany County,36001
New York County,36061
Rensselaer County,36083
Nassau County,36059
Onondaga County,36067
Clinton County,36019
Monroe County,36055
St. Lawrence County,36089
Dutchess County,36027
Putnam County,36079
Erie County,36029
Franklin County,36033
Montgomery County,36057
Orleans County,36073
Sullivan County,36105
Oneida County,36065
Saratoga County,36091
Livingston County,36051
Genesee County,36037
Allegany County,36003
Madison County,36053
Wyoming County,36121
Broome County,36007
Chemung County,36015
Lewis County,36049
Niagara County,36063
Wayne County,36117
Cattaraugus County,36009
Steuben County,36101
Fulton County,36035
Cayuga County,36011
Seneca County,36099
Ulster County,36111
Washington County,36115
Chautauqua County,36013
Tioga County,36107
Otsego County,36077
Ontario County,36069
Herkimer County,36043
Chenango County,36017
Yates County,36123
Schuyler County,36097
Schoharie County,36095
Greene County,36039
Warren County,36113
Columbia County,36021
Delaware County,36025
Essex County,36031
Hamilton County,36041
